,date,ticker,pe_exi,de_ratio,close_price,exp_ret,vol,mom,Mkt-RF,SMB,HML,RMW,CMA,RF,ret_excess
42,2006-09-30,AAP,15.110091743119265,1.7913543660642983,28.066673278808594,-0.020599003933499133,0.08645490274185978,-0.2562055100696067,1.84,-1.46,0.08,0.82,0.6,0.0040999999999999995,-0.024699003933499133
43,2006-10-31,AAP,16.06422018348624,1.7913543660642983,29.838970184326172,-0.00864824261257289,0.09208744655170355,-0.14418868557913078,3.23,1.98,-0.31,-0.12,0.28,0.0040999999999999995,-0.01274824261257289
44,2006-11-30,AAP,16.3302752293578,1.760418269304483,30.333145141601562,-0.0008438514368313554,0.0940148860247064,-0.06151762593842458,1.71,0.71,0.14,0.15,-0.8,0.0042,-0.005043851436831355
45,2006-12-31,AAP,16.31192660550459,1.760418269304483,30.350141525268555,-0.010219321582175367,0.08506580196047667,-0.15503250004967806,0.87,-0.82,2.73,-0.72,2.06,0.004,-0.014219321582175367
46,2007-01-31,AAP,17.408256880733944,1.760418269304483,32.38998031616211,-0.012377003613035472,0.08437664899415083,-0.1763467392581527,1.4,0.07,-0.68,0.26,0.38,0.0044,-0.016777003613035472
47,2007-02-28,AAP,17.430555555555554,1.6023869529535704,32.13394546508789,-0.0069870600095978674,0.0874262633657022,-0.12320789113403974,-1.96,1.29,-0.14,-0.51,-0.71,0.0038,-0.010787060009597867
48,2007-03-31,AAP,17.84722222222222,1.6023869529535704,32.95299530029297,-0.003399731494740201,0.08633460520220362,-0.08343738034593551,0.68,0.2,-0.97,0.64,-0.65,0.0043,-0.0076997314947402015
49,2007-04-30,AAP,19.074074074074073,1.6023869529535704,35.218265533447266,-0.0019825197009570397,0.08668624829979404,-0.06798092293563407,3.49,-2.04,-1.45,1.15,1.03,0.0044,-0.00638251970095704
50,2007-05-31,AAP,18.91324200913242,1.639327584500694,35.40630340576172,0.006587845494300683,0.08829110765308651,0.031256178484564856,3.24,0.4,-0.65,1.58,-1.37,0.0040999999999999995,0.0024878454943006835
51,2007-06-30,AAP,18.506849315068493,1.639327584500694,34.696075439453125,0.011383829433268156,0.0863484308366342,0.0938763994094054,-1.96,0.74,-1.05,0.53,0.08,0.004,0.0073838294332681555
52,2007-07-31,AAP,15.876712328767125,1.639327584500694,29.765182495117188,0.02976521680480564,0.03746117383339639,0.4116207148005975,-3.73,-2.99,-3.71,0.2,-1.13,0.004,0.02576521680480564
53,2007-08-31,AAP,15.875,1.5282074841219573,30.44146728515625,0.013971756335806662,0.06155247938702943,0.15619653327625516,0.92,-0.38,-1.86,-1.21,-0.54,0.0042,0.009771756335806663
54,2007-09-30,AAP,14.982142857142856,1.5282074841219573,28.77867317199707,0.016278110626421132,0.0612967838793747,0.1883550837241752,3.22,-2.44,-2.21,-0.52,-3.02,0.0032,0.013078110626421132
