PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,2019-04-29,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,129.35001,130.17999,129.77,16279958,-0.000924,129.74001,129.77,7662818,1.0,1,129.89999,-0.000924,0.001457,0.001375,0.003016,0.002946,0.001071
10107,2019-04-30,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,129.3947,130.7,130.60001,24156237,0.006396,130.58,130.59,7662818,1.0,1,129.81,0.006396,0.000358,0.000297,-0.002453,-0.002528,0.000951
10107,2019-05-01,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,127.7,130.64999,127.88,26797227,-0.020827,127.86,127.88,7662818,1.0,1,130.53,-0.020827,-0.007552,-0.007599,-0.006304,-0.006388,-0.007502
10107,2019-05-02,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,125.52,128.0,126.21,27345142,-0.013059,126.2,126.21,7662818,1.0,1,127.98,-0.013059,-0.00167,-0.00174,-0.001115,-0.001172,-0.002124
10107,2019-05-03,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,127.25,129.42999,128.89999,24886126,0.021314,128.88,128.89,7662818,1.0,1,127.36,0.021314,0.010903,0.010811,0.013264,0.013153,0.009638
10107,2019-05-06,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,126.11,128.56,128.14999,24236372,-0.005818,128.14999,128.17999,7662818,1.0,1,126.39,-0.005818,-0.003819,-0.003978,-0.002032,-0.00216,-0.004471
10107,2019-05-07,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,124.22,127.18,125.52,36016178,-0.020523,125.56,125.59,7662818,1.0,1,126.46,-0.020523,-0.016138,-0.016162,-0.013079,-0.013145,-0.016512
10107,2019-05-08,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,124.75,126.37,125.51,28416197,-8e-05,125.44,125.45,7662818,1.0,1,125.44,-8e-05,-0.001604,-0.001647,-0.000962,-0.001,-0.001605
10107,2019-05-09,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,123.57,125.79,125.5,27234632,-8e-05,125.5,125.51,7662818,1.0,1,124.29,-8e-05,-0.002762,-0.003037,-0.004986,-0.005092,-0.003021
10107,2019-05-10,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,123.82,127.93,127.13,30908084,0.012988,127.19,127.2,7662818,1.0,1,124.91,0.012988,0.004061,0.003801,0.001979,0.001857,0.00372
10107,2019-05-13,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,123.04,125.55,123.35,33923763,-0.029733,123.3,123.31,7662818,1.0,1,124.11,-0.029733,-0.02449,-0.024534,-0.02262,-0.022657,-0.024131
10107,2019-05-14,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,123.7,125.88,124.73,25258715,0.011188,124.72,124.73,7662818,1.0,1,123.87,0.011188,0.008972,0.008832,0.009282,0.009072,0.008016
